step= 27  t=27.000  (0.475, 0.579)  (-1.843, -0.775)  (-0.563, -0.170)  (-0.121, -0.509)  (-0.480, -0.663)  (0.237, -0.695)  (1.421, -1.407)  (0.154, -0.334)  (1.964, 0.374)  (0.238, -0.195)  (0.488, 1.939)  (-0.171, 0.061)  (0.768, 0.799)  (-1.182, 1.167)  (-1.512, 0.663)
step= 28  t=28.000  (0.177, 0.485)  (-1.843, -0.776)  (-1.162, -0.401)  (-0.313, -0.597)  (-0.570, -0.782)  (0.148, -0.435)  (1.420, -1.406)  (0.378, -0.309)  (1.964, 0.374)  (0.497, -0.036)  (0.746, 1.856)  (-0.165, -0.005)  (0.541, 0.532)  (-1.395, 1.259)  (-1.742, 0.982)
step= 29  t=29.000  (-0.622, 0.922)  (-1.843, -0.775)  (-1.288, -0.780)  (-0.409, -0.380)  (-0.476, -1.786)  (0.983, -1.741)  (1.420, -1.407)  (0.134, -0.481)  (1.964, 0.374)  (0.480, 0.067)  (1.029, 1.715)  (-0.422, 0.459)  (0.418, 0.797)  (-1.418, 1.410)  (-1.742, 0.982)
step= 30  t=30.000  (-1.304, 0.936)  (-1.843, -0.776)  (-1.554, -1.251)  (-0.411, -0.360)  (-0.319, -1.974)  (0.983, -1.741)  (1.420, -1.406)  (1.009, -0.846)  (1.964, 0.374)  (0.300, 0.507)  (1.269, 1.545)  (-0.509, 0.254)  (0.026, 1.508)  (-1.418, 1.410)  (-1.742, 0.982)
step= 31  t=31.000  (-1.937, 0.493)  (-1.842, -0.775)  (-1.531, -1.287)  (-0.515, -0.790)  (-0.208, -1.989)  (0.983, -1.741)  (1.421, -1.407)  (1.973, -0.328)  (1.964, 0.374)  (0.408, 0.492)  (1.268, 1.545)  (-0.374, 0.610)  (-0.396, 1.960)  (-1.418, 1.410)  (-1.742, 0.982)
step= 32  t=32.000  (-1.994, -0.145)  (-1.842, -0.775)  (-1.490, -1.334)  (-0.644, -1.766)  (0.456, -1.947)  (0.983, -1.741)  (1.421, -1.407)  (1.975, -0.311)  (1.964, 0.374)  (1.241, 0.599)  (1.268, 1.545)  (-0.335, 0.842)  (-0.911, 1.779)  (-1.417, 1.410)  (-1.742, 0.982)
step= 33  t=33.000  (-1.994, -0.145)  (-1.842, -0.775)  (-1.372, -1.455)  (-0.676, -1.881)  (0.456, -1.947)  (0.983, -1.741)  (1.421, -1.407)  (1.975, -0.311)  (1.964, 0.374)  (1.517, 1.302)  (1.268, 1.545)  (0.200, 1.717)  (-0.912, 1.780)  (-1.417, 1.410)  (-1.741, 0.981)
step= 34  t=34.000  (-1.994, -0.145)  (-1.843, -0.775)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.947)  (0.983, -1.741)  (1.421, -1.407)  (1.975, -0.311)  (1.964, 0.374)  (1.517, 1.302)  (1.268, 1.545)  (0.286, 1.979)  (-0.912, 1.780)  (-1.417, 1.410)  (-1.741, 0.981)
step= 35  t=35.000  (-1.994, -0.145)  (-1.843, -0.775)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.947)  (0.983, -1.741)  (1.421, -1.407)  (1.975, -0.311)  (1.964, 0.374)  (1.517, 1.302)  (1.268, 1.545)  (0.286, 1.978)  (-0.912, 1.780)  (-1.418, 1.410)  (-1.742, 0.982)
step= 36  t=36.000  (-1.994, -0.145)  (-1.843, -0.775)  (-1.250, -1.560)  (-0.676, -1.881)  (0.456, -1.946)  (0.983, -1.741)  (1.421, -1.407)  (1.975, -0.311)  (1.964, 0.374)  (1.517, 1.302)  (1.268, 1.545)  (0.286, 1.978)  (-0.911, 1.779)  (-1.418, 1.410)  (-1.742, 0.982)
