step= 45  t=45.000  (-0.173, 0.079)  (0.000, 0.000)  (1.999, -0.003)  (0.542, 0.511)  (-0.169, -0.180)  (-1.151, 0.183)  (0.000, 0.000)  (0.000, 0.000)
step= 46  t=46.000  (-0.000, 0.084)  (0.000, 0.000)  (0.935, -0.047)  (1.000, 0.134)  (0.000, 0.000)  (-0.581, 0.053)  (0.000, 0.000)  (0.000, 0.000)
step= 47  t=47.000  (0.000, 0.000)  (0.000, 0.000)  (0.432, 0.010)  (0.719, -0.016)  (0.000, 0.000)  (0.001, -0.183)  (0.000, 0.000)  (0.000, 0.000)
step= 48  t=48.000  (0.000, 0.000)  (0.000, 0.000)  (0.084, -0.016)  (0.366, 0.148)  (0.000, 0.000)  (0.462, 0.011)  (0.000, 0.000)  (0.000, 0.000)
step= 49  t=49.000  (0.000, 0.000)  (0.000, 0.000)  (-0.192, -0.065)  (0.098, 0.073)  (0.000, 0.000)  (0.594, 0.003)  (0.000, 0.000)  (0.000, 0.000)
step= 50  t=50.000  (0.000, 0.000)  (0.000, 0.000)  (-0.384, -0.023)  (-1.163, 0.099)  (0.000, 0.000)  (0.240, 0.080)  (0.000, 0.000)  (0.000, 0.000)
step= 51  t=51.000  (0.000, 0.000)  (0.000, 0.000)  (-0.087, -0.031)  (-0.844, -0.618)  (0.000, 0.000)  (-0.220, -0.131)  (0.000, 0.000)  (0.000, 0.000)
step= 52  t=52.000  (0.000, 0.000)  (0.000, 0.000)  (0.068, 0.108)  (-0.362, -0.337)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 53  t=53.000  (0.000, 0.000)  (0.000, 0.000)  (-0.016, 0.062)  (-0.082, -0.120)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 54  t=54.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.110, 0.036)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 55  t=55.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.479, 0.285)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 56  t=56.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.642, 0.084)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 57  t=57.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.325, 0.161)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 58  t=58.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.062, 0.071)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 59  t=59.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (-0.222, -0.110)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 60  t=60.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (-0.287, -0.361)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 61  t=61.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (-0.069, -0.095)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 62  t=62.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.097, 0.071)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 63  t=63.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.039, -0.018)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 64  t=64.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.005, -0.011)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
