step= 49  t=49.000  (0.000, 0.000)  (0.000, 0.000)  (-0.546, -0.198)  (0.884, -0.275)  (0.659, -0.169)  (0.023, 0.123)  (0.000, 0.000)  (0.000, 0.000)
step= 50  t=50.000  (0.000, 0.000)  (0.000, 0.000)  (-0.239, 0.055)  (0.000, 0.000)  (0.603, 0.292)  (-0.799, -0.013)  (0.000, 0.000)  (0.000, 0.000)
step= 51  t=51.000  (0.000, 0.000)  (0.000, 0.000)  (0.266, 0.233)  (0.000, 0.000)  (0.178, 0.019)  (-0.215, -0.138)  (0.000, 0.000)  (0.000, 0.000)
step= 52  t=52.000  (0.000, 0.000)  (0.000, 0.000)  (0.810, -0.099)  (0.000, 0.000)  (-0.036, 0.026)  (0.168, 0.036)  (0.000, 0.000)  (0.000, 0.000)
step= 53  t=53.000  (0.000, 0.000)  (0.000, 0.000)  (0.545, -0.210)  (0.000, 0.000)  (-0.161, -0.027)  (0.037, 0.133)  (0.000, 0.000)  (0.000, 0.000)
step= 54  t=54.000  (0.000, 0.000)  (0.000, 0.000)  (0.260, 0.038)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 55  t=55.000  (0.000, 0.000)  (0.000, 0.000)  (-0.039, 0.087)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 56  t=56.000  (0.000, 0.000)  (0.000, 0.000)  (-0.437, 0.034)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 57  t=57.000  (0.000, 0.000)  (0.000, 0.000)  (-0.582, -0.262)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 58  t=58.000  (0.000, 0.000)  (0.000, 0.000)  (-0.305, -0.017)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 59  t=59.000  (0.000, 0.000)  (0.000, 0.000)  (-0.031, 0.087)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 60  t=60.000  (0.000, 0.000)  (0.000, 0.000)  (0.411, 0.065)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 61  t=61.000  (0.000, 0.000)  (0.000, 0.000)  (0.284, -0.047)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 62  t=62.000  (0.000, 0.000)  (0.000, 0.000)  (0.040, 0.029)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 63  t=63.000  (0.000, 0.000)  (0.000, 0.000)  (-0.209, -0.017)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 64  t=64.000  (0.000, 0.000)  (0.000, 0.000)  (-0.149, -0.071)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 65  t=65.000  (0.000, 0.000)  (0.000, 0.000)  (0.014, -0.036)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 66  t=66.000  (0.000, 0.000)  (0.000, 0.000)  (0.090, -0.065)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 67  t=67.000  (0.000, 0.000)  (0.000, 0.000)  (0.019, -0.066)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 68  t=68.000  (0.000, 0.000)  (0.000, 0.000)  (-0.018, -0.062)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
