step= 33  t=33.000  (-1.999, -0.031)  (-1.819, -0.828)  (-1.046, -1.703)  (-0.723, -1.864)  (0.062, -1.998)  (1.009, -1.725)  (1.564, -1.245)  (1.888, -0.657)  (1.991, -0.181)  (1.838, 0.786)  (0.624, 1.899)  (0.272, 1.981)  (-0.560, 1.919)  (-1.201, 1.598)  (-1.660, 1.114)
step= 34  t=34.000  (-1.999, -0.031)  (-1.819, -0.828)  (-1.046, -1.703)  (-0.723, -1.864)  (0.062, -1.998)  (1.009, -1.725)  (1.564, -1.245)  (1.888, -0.657)  (1.991, -0.181)  (1.838, 0.786)  (0.624, 1.899)  (0.272, 1.981)  (-0.560, 1.919)  (-1.201, 1.598)  (-1.660, 1.114)
step= 35  t=35.000  (-1.999, -0.031)  (-1.819, -0.828)  (-1.046, -1.703)  (-0.723, -1.864)  (0.062, -1.998)  (1.009, -1.726)  (1.564, -1.245)  (1.888, -0.657)  (1.991, -0.181)  (1.838, 0.786)  (0.624, 1.899)  (0.272, 1.981)  (-0.560, 1.919)  (-1.201, 1.598)  (-1.660, 1.114)
step= 36  t=36.000  (-1.999, -0.031)  (-1.819, -0.828)  (-1.046, -1.703)  (-0.723, -1.864)  (0.062, -1.998)  (1.009, -1.726)  (1.564, -1.245)  (1.888, -0.657)  (1.991, -0.181)  (1.838, 0.786)  (0.624, 1.899)  (0.272, 1.981)  (-0.560, 1.919)  (-1.201, 1.598)  (-1.660, 1.114)
step= 37  t=37.000  (-1.999, -0.031)  (-1.819, -0.828)  (-1.046, -1.703)  (-0.723, -1.864)  (0.062, -1.998)  (1.009, -1.726)  (1.564, -1.245)  (1.888, -0.657)  (1.991, -0.181)  (1.838, 0.786)  (0.624, 1.899)  (0.272, 1.981)  (-0.560, 1.919)  (-1.201, 1.598)  (-1.660, 1.114)
step= 38  t=38.000  (-1.999, -0.031)  (-1.819, -0.828)  (-1.046, -1.703)  (-0.723, -1.864)  (0.062, -1.998)  (1.009, -1.726)  (1.564, -1.245)  (1.888, -0.657)  (1.991, -0.181)  (1.838, 0.786)  (0.624, 1.899)  (0.272, 1.981)  (-0.560, 1.919)  (-1.201, 1.598)  (-1.660, 1.114)
step= 39  t=39.000  (-1.999, -0.031)  (-1.820, -0.828)  (-1.046, -1.704)  (-0.723, -1.864)  (0.062, -1.998)  (1.009, -1.726)  (1.564, -1.245)  (1.888, -0.657)  (1.991, -0.181)  (1.838, 0.786)  (0.624, 1.899)  (0.272, 1.981)  (-0.560, 1.919)  (-1.201, 1.598)  (-1.660, 1.114)
step= 40  t=40.000  (-1.999, -0.031)  (-1.820, -0.828)  (-1.046, -1.704)  (-0.723, -1.864)  (0.059, -1.902)  (1.009, -1.726)  (1.564, -1.245)  (1.888, -0.657)  (1.991, -0.181)  (1.838, 0.786)  (0.624, 1.899)  (0.272, 1.981)  (-0.560, 1.919)  (-0.700, 0.932)  (-1.660, 1.114)
step= 41  t=41.000  (-1.842, -0.028)  (-1.820, -0.828)  (-1.046, -1.704)  (-0.723, -1.864)  (0.000, 0.000)  (1.009, -1.726)  (1.564, -1.245)  (0.751, -0.261)  (1.991, -0.181)  (1.838, 0.786)  (0.624, 1.899)  (0.020, 0.148)  (-0.560, 1.919)  (0.000, 0.000)  (-1.660, 1.114)
step= 42  t=42.000  (0.000, 0.000)  (-1.820, -0.828)  (-1.046, -1.704)  (-0.723, -1.864)  (0.000, 0.000)  (0.120, -0.205)  (1.564, -1.245)  (0.000, 0.000)  (1.991, -0.181)  (1.838, 0.786)  (0.624, 1.899)  (0.000, 0.000)  (-0.560, 1.919)  (0.000, 0.000)  (-1.660, 1.114)
step= 43  t=43.000  (0.000, 0.000)  (-0.424, -0.193)  (-1.046, -1.704)  (-0.723, -1.864)  (0.000, 0.000)  (0.000, 0.000)  (1.564, -1.245)  (0.000, 0.000)  (1.991, -0.181)  (1.838, 0.786)  (0.624, 1.899)  (0.000, 0.000)  (-0.560, 1.919)  (0.000, 0.000)  (-1.249, 0.839)
step= 44  t=44.000  (0.000, 0.000)  (0.000, 0.000)  (-1.046, -1.704)  (-0.723, -1.864)  (0.000, 0.000)  (0.000, 0.000)  (1.564, -1.245)  (0.000, 0.000)  (0.831, -0.075)  (1.838, 0.786)  (0.513, 1.560)  (0.000, 0.000)  (-0.560, 1.919)  (0.000, 0.000)  (0.000, 0.000)
step= 45  t=45.000  (0.000, 0.000)  (0.000, 0.000)  (-0.315, -0.514)  (-0.723, -1.864)  (0.000, 0.000)  (0.000, 0.000)  (1.564, -1.245)  (0.000, 0.000)  (0.000, 0.000)  (1.838, 0.786)  (0.000, 0.000)  (0.000, 0.000)  (-0.560, 1.919)  (0.000, 0.000)  (0.000, 0.000)
step= 46  t=46.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (-0.162, -0.417)  (0.000, 0.000)  (0.000, 0.000)  (0.305, -0.243)  (0.000, 0.000)  (0.000, 0.000)  (1.838, 0.786)  (0.000, 0.000)  (0.000, 0.000)  (-0.560, 1.919)  (0.000, 0.000)  (0.000, 0.000)
step= 47  t=47.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.838, 0.786)  (0.000, 0.000)  (0.000, 0.000)  (-0.192, 0.658)  (0.000, 0.000)  (0.000, 0.000)
step= 48  t=48.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.838, 0.786)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 49  t=49.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.738, 0.743)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
