Simulation has 15 agents and 0 obstacle vertices in it.
Running simulation
step= 32  t=32.000  (7.920, -0.000)  (7.235, 3.221)  (5.299, 5.886)  (2.447, 7.532)  (-0.828, 7.876)  (-3.960, 6.859)  (-6.407, 4.655)  (-7.747, 1.647)  (-7.747, -1.647)  (-6.407, -4.655)  (-3.960, -6.859)  (-0.828, -7.876)  (2.447, -7.532)  (5.299, -5.886)  (7.235, -3.221)
step= 33  t=33.000  (7.882, -0.000)  (7.201, 3.206)  (5.274, 5.858)  (2.436, 7.497)  (-0.824, 7.839)  (-3.941, 6.826)  (-6.377, 4.633)  (-7.710, 1.639)  (-7.710, -1.639)  (-6.377, -4.633)  (-3.941, -6.826)  (-0.824, -7.839)  (2.436, -7.497)  (5.274, -5.858)  (7.201, -3.206)
step= 34  t=34.000  (7.851, -0.000)  (7.173, 3.193)  (5.254, 5.835)  (2.426, 7.467)  (-0.821, 7.808)  (-3.926, 6.799)  (-6.352, 4.615)  (-7.680, 1.632)  (-7.680, -1.632)  (-6.352, -4.615)  (-3.926, -6.799)  (-0.821, -7.808)  (2.426, -7.467)  (5.254, -5.835)  (7.173, -3.193)
step= 35  t=35.000  (7.825, -0.000)  (7.149, 3.183)  (5.236, 5.815)  (2.418, 7.442)  (-0.818, 7.782)  (-3.913, 6.777)  (-6.331, 4.600)  (-7.654, 1.627)  (-7.654, -1.627)  (-6.331, -4.600)  (-3.913, -6.777)  (-0.818, -7.782)  (2.418, -7.442)  (5.236, -5.815)  (7.149, -3.183)
step= 36  t=36.000  (7.804, -0.000)  (7.129, 3.174)  (5.222, 5.799)  (2.412, 7.422)  (-0.816, 7.761)  (-3.902, 6.758)  (-6.313, 4.587)  (-7.633, 1.622)  (-7.633, -1.622)  (-6.313, -4.587)  (-3.902, -6.758)  (-0.816, -7.761)  (2.412, -7.422)  (5.222, -5.799)  (7.129, -3.174)
step= 37  t=37.000  (7.786, -0.000)  (7.113, 3.167)  (5.210, 5.786)  (2.406, 7.405)  (-0.814, 7.743)  (-3.893, 6.743)  (-6.299, 4.576)  (-7.615, 1.619)  (-7.615, -1.619)  (-6.299, -4.576)  (-3.893, -6.743)  (-0.814, -7.743)  (2.406, -7.405)  (5.210, -5.786)  (7.113, -3.167)
step= 38  t=38.000  (7.771, -0.000)  (7.099, 3.161)  (5.200, 5.775)  (2.401, 7.390)  (-0.812, 7.728)  (-3.885, 6.730)  (-6.287, 4.567)  (-7.601, 1.616)  (-7.601, -1.616)  (-6.287, -4.567)  (-3.885, -6.730)  (-0.812, -7.728)  (2.401, -7.390)  (5.200, -5.775)  (7.099, -3.161)
step= 39  t=39.000  (7.758, -0.000)  (7.087, 3.156)  (5.191, 5.765)  (2.397, 7.378)  (-0.811, 7.716)  (-3.879, 6.719)  (-6.276, 4.560)  (-7.589, 1.613)  (-7.589, -1.613)  (-6.276, -4.560)  (-3.879, -6.719)  (-0.811, -7.716)  (2.397, -7.378)  (5.191, -5.765)  (7.087, -3.156)
step= 40  t=40.000  (7.748, -0.000)  (7.078, 3.151)  (5.184, 5.758)  (2.394, 7.369)  (-0.810, 7.705)  (-3.874, 6.710)  (-6.268, 4.554)  (-7.578, 1.611)  (-7.578, -1.611)  (-6.268, -4.554)  (-3.874, -6.710)  (-0.810, -7.705)  (2.394, -7.369)  (5.184, -5.758)  (7.078, -3.151)
step= 41  t=41.000  (7.739, -0.000)  (7.070, 3.148)  (5.178, 5.751)  (2.392, 7.360)  (-0.809, 7.697)  (-3.869, 6.702)  (-6.261, 4.549)  (-7.570, 1.609)  (-7.570, -1.609)  (-6.261, -4.549)  (-3.869, -6.702)  (-0.809, -7.697)  (2.392, -7.360)  (5.178, -5.751)  (7.070, -3.148)
step= 42  t=42.000  (7.732, -0.000)  (7.063, 3.145)  (5.174, 5.746)  (2.389, 7.353)  (-0.808, 7.689)  (-3.866, 6.696)  (-6.255, 4.545)  (-7.563, 1.608)  (-7.563, -1.608)  (-6.255, -4.545)  (-3.866, -6.696)  (-0.808, -7.689)  (2.389, -7.353)  (5.174, -5.746)  (7.063, -3.145)
step= 43  t=43.000  (7.726, -0.000)  (7.058, 3.142)  (5.170, 5.741)  (2.387, 7.348)  (-0.808, 7.683)  (-3.863, 6.691)  (-6.250, 4.541)  (-7.557, 1.606)  (-7.557, -1.606)  (-6.250, -4.541)  (-3.863, -6.691)  (-0.807, -7.683)  (2.387, -7.348)  (5.170, -5.741)  (7.058, -3.142)
step= 44  t=44.000  (7.721, -0.000)  (7.053, 3.140)  (5.166, 5.738)  (2.386, 7.343)  (-0.807, 7.678)  (-3.860, 6.686)  (-6.246, 4.538)  (-7.552, 1.605)  (-7.552, -1.605)  (-6.246, -4.538)  (-3.860, -6.686)  (-0.807, -7.678)  (2.386, -7.343)  (5.166, -5.738)  (7.053, -3.140)
step= 45  t=45.000  (7.717, -0.000)  (7.049, 3.139)  (5.163, 5.734)  (2.385, 7.339)  (-0.807, 7.674)  (-3.858, 6.683)  (-6.243, 4.536)  (-7.548, 1.604)  (-7.548, -1.604)  (-6.243, -4.536)  (-3.858, -6.683)  (-0.807, -7.674)  (2.385, -7.339)  (5.163, -5.735)  (7.049, -3.139)
step= 46  t=46.000  (7.713, -0.000)  (7.046, 3.137)  (5.161, 5.732)  (2.384, 7.336)  (-0.806, 7.671)  (-3.856, 6.680)  (-6.240, 4.534)  (-7.544, 1.604)  (-7.544, -1.604)  (-6.240, -4.534)  (-3.856, -6.680)  (-0.806, -7.671)  (2.384, -7.336)  (5.161, -5.732)  (7.046, -3.137)
step= 47  t=47.000  (7.710, -0.000)  (7.044, 3.136)  (5.159, 5.730)  (2.383, 7.333)  (-0.806, 7.668)  (-3.855, 6.677)  (-6.238, 4.532)  (-7.542, 1.603)  (-7.542, -1.603)  (-6.238, -4.532)  (-3.855, -6.677)  (-0.806, -7.668)  (2.383, -7.333)  (5.159, -5.730)  (7.044, -3.136)
step= 48  t=48.000  (7.708, -0.000)  (7.041, 3.135)  (5.158, 5.728)  (2.382, 7.330)  (-0.806, 7.665)  (-3.854, 6.675)  (-6.236, 4.530)  (-7.539, 1.603)  (-7.539, -1.603)  (-6.236, -4.530)  (-3.854, -6.675)  (-0.806, -7.665)  (2.382, -7.330)  (5.158, -5.728)  (7.041, -3.135)
step= 49  t=49.000  (7.706, -0.000)  (7.040, 3.134)  (5.156, 5.726)  (2.381, 7.329)  (-0.805, 7.663)  (-3.853, 6.673)  (-6.234, 4.529)  (-7.537, 1.602)  (-7.537, -1.602)  (-6.234, -4.529)  (-3.853, -6.673)  (-0.805, -7.663)  (2.381, -7.329)  (5.156, -5.726)  (7.040, -3.134)
step= 50  t=50.000  (7.704, -0.000)  (7.038, 3.133)  (5.155, 5.725)  (2.381, 7.327)  (-0.805, 7.662)  (-3.852, 6.672)  (-6.233, 4.528)  (-7.536, 1.602)  (-7.536, -1.602)  (-6.233, -4.528)  (-3.852, -6.672)  (-0.805, -7.662)  (2.381, -7.327)  (5.155, -5.725)  (7.038, -3.134)
step= 51  t=51.000  (7.703, -0.000)  (7.037, 3.133)  (5.154, 5.724)  (2.380, 7.326)  (-0.805, 7.660)  (-3.851, 6.671)  (-6.231, 4.527)  (-7.534, 1.601)  (-7.534, -1.601)  (-6.231, -4.527)  (-3.851, -6.671)  (-0.805, -7.660)  (2.380, -7.326)  (5.154, -5.724)  (7.037, -3.133)
step= 52  t=52.000  (7.702, -0.000)  (7.036, 3.132)  (5.153, 5.723)  (2.380, 7.324)  (-0.805, 7.659)  (-3.851, 6.670)  (-6.231, 4.527)  (-7.533, 1.601)  (-7.533, -1.601)  (-6.230, -4.527)  (-3.851, -6.670)  (-0.805, -7.659)  (2.380, -7.324)  (5.153, -5.723)  (7.036, -3.132)
